ID,PDB ID,Name,Type,Description,Bio Relevance,Notoriety,Discovery Year,Fun Fact
1,1HHO,Hemoglobin,transport,"The oxygen-carrying protein in red blood cells that gives blood its red color",98,95,1959,"First protein structure solved by X-ray crystallography, earning Max Perutz the Nobel Prize"
2,4INS,Insulin,signaling,"Hormone that regulates blood sugar levels in the body",99,98,1969,"First protein to have its amino acid sequence determined by Frederick Sanger in 1951"
3,1GFL,Green Fluorescent Protein (GFP),regulatory,"Jellyfish protein that glows green under UV light, revolutionized cell biology",85,92,1996,"Won the 2008 Nobel Prize and is now used in millions of experiments worldwide"
4,1BNA,DNA Double Helix,nucleic-acid,"The iconic B-form DNA structure that stores genetic information",100,100,1953,"Watson and Crick built their model using X-ray data from Rosalind Franklin"
5,6VXX,SARS-CoV-2 Spike Protein,viral,"The protein that COVID-19 uses to enter human cells",95,99,2020,"Structure was solved in just 12 days after sequence release - a scientific record"
6,1TUP,p53 Tumor Suppressor,regulatory,"Guardian of the genome - prevents cancer by stopping damaged cells",99,88,1994,"Mutated in over 50% of all human cancers, making it the most studied protein in cancer research"
7,4OO8,CRISPR-Cas9,enzyme,"Revolutionary gene-editing tool derived from bacterial immune systems",95,96,2014,"Led to the 2020 Nobel Prize, fastest ever from discovery to Nobel"
8,1MBO,Myoglobin,transport,"Oxygen-storing protein in muscles that makes meat red",90,85,1958,"The very first protein structure ever solved at atomic resolution"
9,1CGD,Collagen,structural,"Most abundant protein in your body, forms skin, bones, and tendons",97,80,1954,"Makes up 30% of all protein in your body and is the main ingredient in gelatin"
10,2HHB,Deoxyhemoglobin,transport,"Hemoglobin without oxygen, showing how proteins change shape",95,75,1984,"Revealed allostery - how proteins cooperatively bind molecules"
11,1LYZ,Lysozyme,enzyme,"Antibacterial enzyme found in tears, saliva, and egg whites",85,78,1965,"Discovered by Alexander Fleming before penicillin, first enzyme structure solved"
12,1TRZ,Trypsin,enzyme,"Digestive enzyme that breaks down proteins in your intestine",88,72,1971,"One of the first enzymes discovered, in 1876 by Wilhelm Kühne"
13,5E2O,ATP Synthase,enzyme,"Molecular turbine that produces ATP, the energy currency of cells",100,82,1994,"Rotates at 9000 RPM, making it the world's smallest motor"
14,1DDJ,Alcohol Dehydrogenase,enzyme,"Enzyme that breaks down alcohol in your liver",85,70,1994,"Variations in this enzyme explain why some people can't tolerate alcohol"
15,1HEW,Hen Egg White Lysozyme,enzyme,"Classic model enzyme for studying protein folding",80,75,1965,"Has been crystallized more times than any other protein"
16,1STP,Streptavidin,enzyme,"Bacterial protein with the strongest non-covalent bond in nature",75,80,1989,"Biotin-streptavidin bond is used in countless lab techniques"
17,1RTP,Reverse Transcriptase,enzyme,"HIV enzyme that copies RNA to DNA, target of AIDS drugs",92,85,1992,"Challenged the 'central dogma' of molecular biology"
18,1A4Y,Cytochrome c,enzyme,"Electron carrier essential for cellular respiration",90,70,1991,"Nearly identical across all life forms - from yeast to humans"
19,3PFK,Phosphofructokinase,enzyme,"Key regulatory enzyme in glucose metabolism",88,65,1994,"Master switch controlling how fast cells burn sugar for energy"
20,1A2C,Acetylcholinesterase,enzyme,"Breaks down neurotransmitter acetylcholine in synapses",90,72,1991,"One of the fastest enzymes known - processes 25,000 molecules per second"
